formula,Crystal System,band_gap_experimenatal (eV)
Ag2O ,Cubic ,1.2685
Ag2S ,Cubic ,1.13
Ag2S ,Monoclinic ,0.87
Ag2Se ,Cubic ,0.281666667
Ag2Se ,Orthorhombic ,0.239125
Ag2Te ,Cubic ,0.4725
Ag2Te ,Monoclinic ,0.311458333
AgBr ,Cubic ,2.979272727
AgCl ,Cubic ,3.490307692
AgI ,Hexagonal ,2.8695
AgN3 ,Orthorhombic ,3.67
AgP15 ,Triclinic ,1.39
AgS ,Monoclinic ,1.154666667
AgTe ,Orthorhombic ,0.77
Al2O3 ,Cubic ,2.483333333
Al2O3 ,Hexagonal ,3.676
Al2O3 ,Trigonal ,7.15
Al2S3 ,Hexagonal ,4.1
Al2Se3 ,Hexagonal ,2.8
Al2Te3 ,Cubic ,2.357142857
AlAs ,Cubic ,2.407222222
AlB12 ,Orthorhombic ,2.5
AlB12 ,Trigonal ,2.02
AlN ,Hexagonal ,5.38625
AlP ,Cubic ,2.673095238
AlSb ,Cubic ,1.647136364
As2B12 ,Trigonal ,1.51
As2S3 ,Monoclinic ,2.557692308
As2S5 ,Orthorhombic ,2.28
As2Se3 ,Monoclinic ,1.816
As2Te3 ,Monoclinic ,1.26
AsBr3 ,Orthorhombic ,2.6
AsI3 ,Trigonal ,2.415
AsSe ,Monoclinic ,1.215
AsTe ,Cubic ,0.74
AsTe3 ,Monoclinic ,0.43
AsTe3 ,Rhombohedral ,0.3
B12P2 ,Trigonal ,3.3
B4C (B12C3) ,Trigonal ,1.64
BaF2 ,Cubic ,9.1425
BaO ,Cubic ,4.576666667
BaS ,Cubic ,2.6725
BaSe ,Cubic ,3.6
BaTe ,Cubic ,3.4
Be3N2 ,Cubic ,3.8
BeO ,Hexagonal ,10.57666667
Bi0.74Sb0.26 ,Trigonal ,0.02
Bi0.78Sb0.22 ,Trigonal ,0
Bi0.85Sb0.15 ,Trigonal ,0.025
Bi0.935Sb0.065 ,Trigonal ,0
BI2O3 ,Monoclinic ,2.751428571
BI2O3 ,Orthorhombic ,2.6
Bi2S3 ,Orthorhombic ,1.176666667
Bi2Se3 ,Trigonal ,0.237333333
Bi2Te3 ,Trigonal ,0.153571429
Bi8Se9 ,Trigonal ,0.233
BIBr3 ,Monoclinic ,2.66
BiI3 ,Hexagonal ,2.02075
BiI3 ,Rhombohedral ,1.8
BiSe ,Hexagonal ,0.4
BN ,Cubic ,6.777777778
BN ,Hexagonal ,4.854545455
BP ,Cubic ,2.94
Ca2Ge ,Orthorhombic ,1
Ca2Pb ,Orthorhombic ,0.464444444
Ca2Si ,Orthorhombic ,1.9
Ca2Sn ,Orthorhombic ,0.9
Ca3N2 ,Cubic ,1.55
CaB6 ,Cubic ,4.066666667
CaF2 ,Cubic ,9.973333333
CaH2 ,Cubic ,3
CaH2 ,Orthorhombic ,4.4
CaI2 ,Trigonal ,5.98
CaO ,Cubic ,7.066
CaS ,Cubic ,5.69
CaSe ,Cubic ,4.87
CaTe ,Cubic ,4.07
CBr4 ,Monoclinic ,3.7
Cd3As2 ,Tetragonal ,0.219866667
Cd3P2 ,Tetragonal ,0.548285714
Cd4Sb3 ,Orthorhombic ,1.2875
CdAs2 ,Tetragonal ,0.976666667
CdBr2 ,Hexagonal ,4.47
CdCl2 ,Hexagonal ,5.75
CdF2 ,Cubic ,6
CdI2 ,Trigonal ,3.7729
CdO ,Cubic ,1.612142857
CdP2 ,Tetragonal ,1.747888889
CdP4 ,Monoclinic ,1.0297
CdS ,Cubic ,2.52629375
CdSb ,Orthorhombic ,0.510909091
CdSe ,Cubic ,1.840903571
CdTe ,Cubic ,1.51625
CdTe2 ,Cubic ,1.08
Ce2S3 ,Cubic ,1.706666667
Ce2Se3 ,Cubic ,1.79
Ce2Te3 ,Cubic ,1.26
Ce3S4 ,Cubic ,1.82
Ce4Te7 ,Tetragonal ,0.5
CeF3 ,Trigonal ,4.85
CeN ,Cubic ,0.7
CeO2 ,Cubic ,2.82
CeTe2 ,Tetragonal ,0.036
CeTe3 ,Orthorhombic ,0.041
CI4 ,Tetragonal ,2.26
CoAs2 ,Monoclinic ,0.15
CoAs3 ,Cubic ,0.25
CoO ,Tetragonal ,0.441666667
CoSi ,Cubic ,0.045
Cr2.04Se3 ,Trigonal ,0.15
Cr2O3 ,Trigonal ,1.4725
Cr2S3 ,Trigonal ,0.9
Cr3Se4 ,Monoclinic ,0.015
CrSb ,Hexagonal ,0.2
CrSi2 ,Hexagonal ,0.35
Cs2Te ,Orthorhombic ,3.5
Cs3As ,Hexagonal ,0.6
Cs3Bi ,Cubic ,0.585
Cs3Sb ,Cubic ,1.65
CsBi2 ,Cubic ,0.55
CsBr ,Cubic ,6.96
CsCl ,Cubic ,7.766666667
CsF ,Cubic ,10
CsI ,Cubic ,6.3175
CsSb ,Cubic ,0.654
Cu1.8S ,Cubic ,2.3
Cu2O ,Cubic ,2.090866667
Cu2S ,Cubic ,1.35
Cu2S ,Hexagonal ,1.454285714
Cu2S ,Orthorhombic ,1.345
Cu2Se ,Cubic ,1.151
Cu2Te ,Cubic ,1.15
Cu2Te ,Hexagonal ,0.997142857
Cu3N ,Cubic ,0.23
CuBr ,Cubic ,2.9874
CuCl ,Cubic ,3.267425
CuI ,Cubic ,3.0264
CuN3 ,Tetragonal ,4.565
CuO ,Monoclinic ,0.8
CuP2 ,Monoclinic ,1.4525
Dy2O3 ,Cubic ,2.235
Dy2S3 ,Cubic ,2.955
Dy2S3 ,Monoclinic ,0.34
Dy2Te3 ,Orthorhombic ,0.69
DyAs ,Cubic ,1
DyB6 ,Cubic ,3.3
DyN ,Cubic ,2.35
DyTe1.40 ,Orthorhombic ,0.6
DyTe1.45 ,Orthorhombic ,0.6
DyTe1.7 ,Tetragonal ,0.35
Er2O3 ,Cubic ,2.33
Er2Se3 ,Cubic ,0.19
Er2Se3 ,Orthorhombic ,1.66
Er2Te3 ,Orthorhombic ,0.9
ErB6 ,Cubic ,3.5
ErN ,Cubic ,2.7
ErSe2 ,Orthorhombic ,0.775
ErTe ,Cubic ,0.9
Eu2O3 ,Cubic ,1.77
Eu2Se3 ,Orthorhombic ,1.02
Eu3As2 ,Cubic ,0.875
Eu3O4 ,Orthorhombic ,0.6
Eu3P2 ,Cubic ,1.2
Eu3S4 ,Cubic ,0.163
EuH2 ,Orthorhombic ,1.85
EuN ,Cubic ,1.36
EuO ,Cubic ,1.90925
EuS ,Cubic ,2.202
EuSe ,Cubic ,2.134
EuTe ,Cubic ,1.898
Fe2O3 ,Hexagonal ,1.916666667
Fe2Te3 ,Hexagonal ,0.47
FeAs2 ,Orthorhombic ,0.2
FeI2 ,Trigonal ,5.15
FeP2 ,Orthorhombic ,0.4
FeS2 ,Cubic ,0.79
FeS2 ,Orthorhombic ,0.8825
FeSb2 ,Orthorhombic ,0.11
FeSe2 ,Orthorhombic ,0.6375
FeSi ,Cubic ,0.1
FeSi2 ,Orthorhombic ,0.876666667
FeTe2 ,Orthorhombic ,0.46
Ga2O3 ,Monoclinic ,4.646666667
Ga2S3 ,Cubic ,2.675
Ga2S3 ,Hexagonal ,2.776
Ga2S3 ,Monoclinic ,2.8
Ga2Se3 ,Cubic ,1.9325
Ga2Te3 ,Cubic ,1.358
GaAs ,Cubic ,1.4647
GaAs ,Tetragonal ,1.35
GaN ,Hexagonal ,3.451636364
GaP ,Cubic ,2.351785714
GaS ,Hexagonal ,2.82116875
GaSb ,Cubic ,0.778468182
GaSe ,Hexagonal ,2.229071429
GaTe ,Hexagonal ,1.7052
Gd2O3 ,Cubic ,2.13
Gd2Se3 ,Cubic ,2.2
Gd2Te3 ,Orthorhombic ,0.74
GdAs ,Cubic ,0.63
GdB6 ,Cubic ,3.6
GdN ,Cubic ,1.54
GdTe ,Cubic ,1.3
GeAs ,Monoclinic ,1.05
GeI2 ,Hexagonal ,1.5
GeO2 ,Tetragonal ,5.576666667
GeS ,Orthorhombic ,1.645785714
GeS2 ,Orthorhombic ,3.541666667
GeSe ,Orthorhombic ,1.154090909
GeSe2 ,Orthorhombic ,2.537375
GeTe ,Cubic ,1.256666667
GeTe ,Orthorhombic ,0.1
GeTe ,Trigonal ,0.15
HfO2 ,Monoclinic ,5.55
HfS2 ,Trigonal ,2.43
HfS3 ,Monoclinic ,2.825
HfSe2 ,Trigonal ,1.665
Hg2Br2 ,Tetragonal ,2.6
Hg2Cl2 ,Tetragonal ,3.38
Hg2I2 ,Tetragonal ,2.37
HgBr2 ,Orthorhombic ,3.59
HgCl2 ,Orthorhombic ,4.45
HgI2 ,Orthorhombic ,2.718333333
HgI2 ,Tetragonal ,2.171666667
HgO ,Orthorhombic ,2.2
HgS ,Cubic ,0.6
HgS ,Trigonal ,2.028125
HgSe ,Cubic ,0.256766667
HgTe ,Cubic ,0.1603125
Ho2O3 ,Cubic ,2.84
Ho2S3 ,Monoclinic ,0.5
HoN ,Cubic ,1.845
In2O3 ,Cubic ,2.289285714
In2S3 ,Cubic ,1.829230769
In2Se ,Orthorhombic ,0.75575
In2Se3 ,Cubic ,1
In2Se3 ,Hexagonal ,1.38
In2Se3 ,Monoclinic ,0.97
In2Se3 ,Trigonal ,1.208333333
In2Te ,Orthorhombic ,0.461666667
In2Te3 ,Cubic ,1.112083333
In4S5 ,Monoclinic ,0.9
In5Se6 ,Monoclinic ,0.14
InAs ,Cubic ,0.39655
InN ,Hexagonal ,2.12625
InP ,Cubic ,1.352851724
InS ,Orthorhombic ,2.03
InSb ,Cubic ,0.211696552
InSe ,Hexagonal ,1.15
InSe ,Trigonal ,1.360673077
InTe ,Tetragonal ,0.318
IrAs2 ,Monoclinic ,0.7
IrS2 ,Orthorhombic ,0.9
IrSe2 ,Orthorhombic ,1
K2S ,Cubic ,2.1
K2Se ,Cubic ,1.8
K2Te ,Cubic ,1.9
K3As ,Hexagonal ,2.5
K3Bi ,Hexagonal ,0.95
K3Sb ,Cubic ,1.4
K3Sb ,Hexagonal ,1.166666667
KBr ,Cubic ,7.10625
KCl ,Cubic ,7.888
KF ,Cubic ,10.4275
KI ,Cubic ,6.1395
KSb ,Monoclinic ,0.9
La2O3 ,Trigonal ,1.955
La2S3 ,Cubic ,2.25
La2S3 ,Tetragonal ,2.09
La2Se3 ,Cubic ,1.773333333
La2Te3 ,Cubic ,0.265
La3Te4 ,Cubic ,0.43
LaB6 ,Cubic ,3.026666667
LaF3 ,Trigonal ,6.6
LaSb ,Cubic ,0.8
LaTe2 ,Tetragonal ,0.48
Li2B6 ,Tetragonal ,2
Li3Bi ,Cubic ,1.3
Li3Sb ,Cubic ,1.5
Li3Sb ,Hexagonal ,0.833333333
LiBr ,Cubic ,7.725
LiCl ,Cubic ,9.33
LiF ,Cubic ,12.41375
LiI ,Cubic ,5.964
Lu2O3 ,Cubic ,3.94
Mg2Ge ,Cubic ,0.810138889
Mg2Pb ,Cubic ,0.098714286
Mg2Si ,Cubic ,0.881944444
Mg2Sn ,Cubic ,0.28
Mg3As2 ,Cubic ,1.725
Mg3Bi2 ,Trigonal ,0.1
Mg3N2 ,Cubic ,2.8
Mg3P2 ,Cubic ,1.4
Mg3Sb2 ,Trigonal ,0.81
MgF2 ,Tetragonal ,10.565
MgO ,Cubic ,7.1925
MgSe ,Cubic ,5.61
MgTe ,Hexagonal ,4.15
MnAl3 ,Monoclinic ,0.58
MnF2 ,Tetragonal ,10.11333333
MnI2 ,Trigonal ,4.22
MnO ,Cubic ,2.585
MnO2 ,Tetragonal ,0.413333333
MnS ,Cubic ,6.1
MnS ,Hexagonal ,2.624
MnSe ,Cubic ,1.42125
MnSe2 ,Cubic ,0.15
MnTe ,Hexagonal ,1.173333333
MnTe2 ,Cubic ,0.2525
MoO3 ,Orthorhombic ,3.364285714
MoS2 ,Hexagonal ,1.59
MoTe2 ,Hexagonal ,1.1875
Na2S ,Cubic ,2.4
Na2Se ,Cubic ,2.2
Na2Te ,Cubic ,2.15
Na3As ,Hexagonal ,3.15
Na3Bi ,Hexagonal ,1.1
Na3Sb ,Hexagonal ,1.08
NaBr ,Cubic ,7.37125
NaCl ,Cubic ,7.756666667
NaF ,Cubic ,10.5
NaI ,Cubic ,6.074
NaSb ,Monoclinic ,0.82
Nb2O5 ,Monoclinic ,3.053333333
Nb2Se3 ,Monoclinic ,0.075
NbO2 ,Tetragonal ,0.25
NbSe2 ,Hexagonal ,1.4
Nd2O3 ,Trigonal ,0.97
Nd2Se3 ,Cubic ,2.025
Nd2Te3 ,Orthorhombic ,1.12
Nd2Te5 ,Orthorhombic ,0.29
Nd3Te4 ,Cubic ,1.6
Nd4Te7 ,Tetragonal ,0.38
NdAs ,Cubic ,1.04
NdB6 ,Cubic ,4.1
NdF3 ,Trigonal ,6.15
NdSe1.9 ,Tetragonal ,0.016
NdTe2 ,Tetragonal ,0.39
NiAs2 ,Orthorhombic ,0.05
NiO ,Trigonal ,3.08
NiP2 ,Monoclinic ,0.5
NiS ,Hexagonal ,0.065
NiS2 ,Cubic ,0.5
OsAs2 ,Orthorhombic ,0.906666667
OsP2 ,Orthorhombic ,1.176666667
OsS2 ,Cubic ,2
OsSb2 ,Orthorhombic ,0.255
OsTe2 ,Cubic ,0.3
P3N4 ,Monoclinic ,4.83
P3N4 ,Orthorhombic ,2.75
Pb2O3 ,Monoclinic ,1.67
Pb3O4 ,Tetragonal ,2.12
PbBr2 ,Orthorhombic ,3.31
PbCl2 ,Orthorhombic ,3.953333333
PbI2 ,Hexagonal ,2.525
PbN6 ,Orthorhombic ,3
PbO ,Orthorhombic ,2.833333333
PbO ,Tetragonal ,2.4569
PbO2 ,Orthorhombic ,1.725
PbO2 ,Tetragonal ,1.55
PbS ,Cubic ,0.3563
PbSe ,Cubic ,0.231294118
PbTe ,Cubic ,0.276058824
PdO ,Tetragonal ,0.723333333
PdP2 ,Monoclinic ,0.65
PdS ,Tetragonal ,0.5
PdS2 ,Orthorhombic ,0.75
PdSe ,Tetragonal ,0.2
PdSe2 ,Orthorhombic ,0.4
PdTe2 ,Trigonal ,1.8
Pr2O3 ,Trigonal ,0.84
Pr2S3 ,Cubic ,2.126666667
Pr2Se3 ,Cubic ,1.866666667
Pr2Te3 ,Cubic ,1.28
Pr4Te7 ,Tetragonal ,0.46
PrAs ,Cubic ,1
PrB6 ,Cubic ,4.9
PrF3 ,Trigonal ,5.725
PrO2 ,Cubic ,0.77
PrSb ,Cubic ,0.66
PrTe1.9 ,Tetragonal ,1
PrTe2 ,Tetragonal ,1.154
PtAs2 ,Cubic ,0.6
PtO2 ,Hexagonal ,0.2
PtO2 ,Orthorhombic ,0.2
PtP2 ,Cubic ,0.7
PtS ,Tetragonal ,0.775
PtS2 ,Hexagonal ,0.316666667
PtSb2 ,Cubic ,0.117772727
PtSe2 ,Trigonal ,0.1
Rb3Sb ,Hexagonal ,1.085714286
RbBr ,Cubic ,7.45
RbCl ,Cubic ,8.278
RbF ,Cubic ,10.4
RbI ,Cubic ,6.174285714
ReO3 ,Cubic ,2.3
ReS2 ,Triclinic ,1.1
ReSe2 ,Triclinic ,0.99
ReSi2 ,Tetragonal ,0.12
Rh2O3 ,Orthorhombic ,0.13
Rh2O3 ,Trigonal ,0.2
Rh2S3 ,Orthorhombic ,0.8
RhSe2 ,Cubic ,0.6
RuAs2 ,Orthorhombic ,0.8
RuP2 ,Orthorhombic ,0.933333333
RuS2 ,Cubic ,1.8
RuSb2 ,Orthorhombic ,0.3
RuSe2 ,Cubic ,0.8
RuSi ,Cubic ,0.26
RuTe2 ,Cubic ,0.25
Sb2O3 ,Orthorhombic ,3.57
Sb2S3 ,Orthorhombic ,1.708
Sb2Se3 ,Orthorhombic ,1.205277778
Sb2Te3 ,Trigonal ,0.254545455
SbI3 ,Monoclinic ,2.276666667
Sc2O3 ,Cubic ,4.825
Sc2S3 ,Orthorhombic ,2.176666667
ScN ,Cubic ,2.6
Si2Te3 ,Hexagonal ,1.802727273
Si3N4 ,Hexagonal ,4.625
SiAs ,Monoclinic ,1.774
SiAs2 ,Orthorhombic ,0.88
SiB3 ,Orthorhombic ,2
SiB3 ,Rhombohedral ,0.2
SiC 3c ,Cubic ,2.642866667
SiC ,Hexagonal ,3.122583333
SiC ,Trigonal ,2.8600625
SiO2 ,Hexagonal ,7.8
SiO2 ,Trigonal ,8.2
SiP ,Orthorhombic ,2
SiP2 ,Orthorhombic ,1.89
SiSe2 ,Orthorhombic ,1.73
Sm2O3 ,Monoclinic ,1.72
Sm2S3 ,Orthorhombic ,3
Sm2Se3 ,Orthorhombic ,2.073333333
Sm2Te3 ,Orthorhombic ,0.7
Sm3Te4 ,Cubic ,0.51
SmAs ,Cubic ,1.03
SmB6 ,Cubic ,4.9
SmP ,Cubic ,1.09
SmS ,Cubic ,0.54
SmSb ,Cubic ,0.59
SmSe ,Cubic ,0.46
SmSe1.9 ,Tetragonal ,1.68
SmTe ,Cubic ,0.378
Sn3N4 ,Cubic ,1.3
Sn3N4 ,Monoclinic ,3
Sn3N4 ,Rhombohedral ,2.64
SnBr2 ,Orthorhombic ,3.45
SnCl2 ,Orthorhombic ,3.9
SnI2 ,Monoclinic ,2.4
SnI4 ,Cubic ,2.38
SnO2 ,Tetragonal ,3.346291667
SnS ,Orthorhombic ,1.188
SnS2 ,Trigonal ,2.103888889
SnSe ,Orthorhombic ,0.962352941
SnSe2 ,Trigonal ,1.242105263
SnTe ,Cubic ,0.318333333
SrO ,Cubic ,4.21
SrS ,Cubic ,4.78
SrSe ,Cubic ,4.435
SrTe ,Cubic ,3.75
Ta2O5 ,Monoclinic ,4.11
TaS2 ,Hexagonal ,0.1
Tb2O3 ,Cubic ,0.905
Tb4O7 ,Cubic ,0.4
TbO2 ,Cubic ,0.5
TcCl2 ,Monoclinic ,0.12
TeI ,Triclinic ,1.1
TeO2 ,Tetragonal ,3
Th2Se5 ,Tetragonal ,0.37
ThO2 ,Cubic ,3.804285714
TI2O3 ,Trigonal ,0.07
Ti2S3 ,Monoclinic ,0.3
TiO ,Cubic ,0.1
TiO2 ,Tetragonal ,3.25
TiS2 ,Trigonal ,1.595
TiS3-x ,Monoclinic ,0.9
TiSe2 ,Trigonal ,1.12
TiTe2 ,Trigonal ,1
Tl2O3 ,Cubic ,1.825
Tl2S ,Trigonal ,1.025714286
Tl2Se ,Tetragonal ,0.37
Tl2Te ,Tetragonal ,0.48
Tl2Te3 ,Monoclinic ,0.61
TlBr ,Cubic ,2.935907692
TlCl ,Cubic ,3.420275
TlI ,Cubic ,2.5556
TlI ,Orthorhombic ,2.88
TlN3 ,Tetragonal ,3.58
TlS ,Tetragonal ,1.36
TlSe ,Tetragonal ,0.741944444
TmAs ,Cubic ,1.18
UO2 ,Cubic ,1.74
V2O3 ,Hexagonal ,0.24
V2O3 ,Trigonal ,0.1
V2O5 ,Orthorhombic ,2.328571429
V4O7 ,Triclinic ,0.8
V5O9 ,Triclinic ,0.15
VO ,Cubic ,0.3
VO2 ,Monoclinic ,0.4575
WO3 ,Triclinic ,2.8
WS2 ,Hexagonal ,0.775
WSe2 ,Hexagonal ,1.465
WTe2 ,Orthorhombic ,0.0625
Y2O3 ,Cubic ,3.53
Y2S3 ,Monoclinic ,2.9
Yb2O3 ,Cubic ,2.26
Yb2S3 ,Hexagonal ,0.29
YbAs ,Cubic ,1.02
YbS ,Cubic ,0.610125
YbSb ,Cubic ,1
YbSe ,Cubic ,0.85
YbTe ,Cubic ,1.425
YN ,Cubic ,1.9
Zn3As2 ,Tetragonal ,0.960652174
Zn3P2 ,Tetragonal ,1.471666667
Zn3Sb2 ,Orthorhombic ,0.21
Zn4Sb3 ,Monoclinic ,1.16
ZnAs ,Orthorhombic ,0.9
ZnAs2 ,Monoclinic ,1.026363636
ZnI2 ,Tetragonal ,4.53
ZnO ,Hexagonal ,3.357028571
ZnP2 ,Monoclinic ,1.33
ZnP2 ,Tetragonal ,1.858
ZnS ,Cubic ,3.61125
ZnS ,Hexagonal ,3.714952381
ZnSb ,Orthorhombic ,0.660030303
ZnSe ,Cubic ,2.712313793
ZnSe ,Hexagonal ,2.8345
ZnTe ,Cubic ,2.279285714
Zr3O ,Trigonal ,0.2
Zr6O ,Hexagonal ,0.18
ZrO2 ,Monoclinic ,2.066666667
ZrS2 ,Trigonal ,1.76
ZrS3 ,Monoclinic ,2.225
ZrSe2 ,Trigonal ,2
ZrSe3 ,Monoclinic ,1.25
